"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.905791665E-3,-2.818039856E0,4.348607025E0,8.430618439E0
1.194579167E-2,-2.811752930E0,4.250860291E0,8.427924042E0
2.198579167E-2,-2.746788025E0,4.355941772E0,8.461753693E0
3.202579167E-2,-2.734214172E0,4.608167267E0,8.350085907E0
4.209679167E-2,-2.701731720E0,4.776417389E0,8.157885590E0
5.213679167E-2,-2.690954132E0,4.741390228E0,8.056396637E0
6.217779167E-2,-2.647394714E0,4.619992676E0,8.112978973E0
7.221779166E-2,-2.578088837E0,4.429888000E0,8.225993958E0
8.225779166E-2,-2.508483582E0,4.222120056E0,8.153694305E0
9.232879167E-2,-2.552492065E0,4.140539703E0,8.148455200E0
1.023687917E-1,-2.621947632E0,4.164190521E0,8.213869171E0
1.124097917E-1,-2.757116547E0,4.113296356E0,8.231682129E0
1.224497917E-1,-2.874622192E0,4.149670715E0,8.273145905E0
1.324897917E-1,-2.958747253E0,4.315825195E0,8.311166840E0
1.425307917E-1,-2.933599548E0,4.378095703E0,8.223149872E0
1.526007917E-1,-2.872526550E0,4.399201813E0,8.220455475E0
1.626417917E-1,-2.885998535E0,4.529880066E0,8.284522247E0
1.726716667E-1,-2.950065308E0,4.496050415E0,8.373587036E0
1.827116667E-1,-3.004701691E0,4.260590057E0,8.521928558E0
1.927516667E-1,-3.159629517E0,3.829785919E0,9.001082153E0
2.028226667E-1,-2.891537018E0,4.043242035E0,9.132957916E0
2.128636667E-1,-2.311942291E0,3.984264679E0,8.934620361E0
2.229036667E-1,-2.049987030E0,3.335513763E0,9.427545319E0
2.329436667E-1,-1.935325470E0,3.297043762E0,9.956245880E0
2.429836667E-1,-1.929487610E0,3.328927460E0,9.119336243E0
2.530246667E-1,-1.566492462E0,3.480861511E0,8.244854736E0
2.630946667E-1,-1.405876465E0,3.582649841E0,8.300239563E0
2.731356667E-1,-1.416654053E0,3.477418671E0,8.544980621E0
2.831756667E-1,-1.404080200E0,3.379671936E0,8.597521362E0
2.932156667E-1,-1.432071991E0,3.363804932E0,8.450976105E0
3.032566667E-1,-1.637145538E0,3.465892639E0,8.227490845E0
3.132966667E-1,-1.935325470E0,3.778442688E0,8.143515472E0
3.233676667E-1,-2.103575592E0,3.963308258E0,8.166118469E0
3.334076667E-1,-1.951940918E0,3.134332123E0,8.516390076E0
3.434476667E-1,-1.573228455E0,2.475851440E0,8.659642181E0
3.534886667E-1,-1.169967041E0,2.407593384E0,8.413553925E0
3.635286667E-1,-1.049317932E0,2.803969116E0,8.041128387E0
3.735996667E-1,-1.257085876E0,3.602408752E0,7.960745544E0
3.836396667E-1,-1.289119263E0,3.125650177E0,8.397686920E0
3.936796667E-1,-1.009800110E0,1.458417206E0,9.199120331E0
4.037196667E-1,-5.656736755E-1,7.705975342E-1,9.757608948E0
4.137606667E-1,2.724334717E-2,8.400531006E-1,9.724078674E0
4.238006667E-1,3.182382202E-1,8.910969543E-1,9.109157410E0
4.338716667E-1,4.761598206E-1,9.990225220E-1,8.565637665E0
4.439116667E-1,2.595602417E-1,5.771997070E-1,8.127648468E0
4.539516667E-1,1.764830017E-1,4.522096252E-1,7.631130981E0
4.639926667E-1,4.001179504E-1,7.623646545E-1,7.755372620E0
4.740326667E-1,1.508862305E-1,7.369175720E-1,8.395740967E0
4.840726667E-1,-3.694317627E-1,6.887178040E-1,9.221873016E0
4.941436667E-1,-7.466473389E-1,1.208736420E0,9.706415405E0
5.041836667E-1,-9.611512756E-1,1.953737183E0,9.310189362E0
5.142246667E-1,-9.524693298E-1,2.530188446E0,8.701105957E0
5.242646667E-1,-1.214574280E0,2.976859589E0,8.581953735E0
5.343046667E-1,-1.143472137E0,3.306773529E0,8.575367432E0
5.443756667E-1,-7.717950439E-1,3.459156647E0,8.187523956E0
5.544156667E-1,-8.966354370E-1,3.364553375E0,8.749006348E0
5.644566667E-1,-6.548881531E-1,3.268004150E0,1.049003586E1
5.744966667E-1,-1.409618683E0,3.570225677E0,1.090138046E1
5.845366667E-1,-2.176623688E0,3.825594635E0,8.999734955E0
5.945766667E-1,-1.462159424E0,3.777544556E0,9.108408966E0
6.046476667E-1,-9.178912354E-1,4.456083527E0,9.731114044E0
6.146876667E-1,-1.026565247E0,4.323159943E0,8.680748291E0
6.247286667E-1,-5.921685791E-1,3.879482574E0,8.676856384E0
6.347686667E-1,-3.845503235E-1,4.121529236E0,9.110953674E0
6.448086667E-1,-6.677613831E-1,4.322261810E0,8.997789001E0
6.548796667E-1,-1.203197937E0,4.149970093E0,9.040599976E0
6.649196667E-1,-1.705104218E0,3.967649231E0,9.157057800E0
6.749606667E-1,-1.901346130E0,3.861220551E0,8.913514252E0
6.850006667E-1,-1.932032318E0,3.806135101E0,8.738677826E0
6.950406667E-1,-1.930834808E0,3.816613312E0,8.680897980E0
7.050816667E-1,-1.926942902E0,3.910019073E0,8.618178406E0
7.151516667E-1,-1.960622864E0,4.012855225E0,8.531358948E0
7.251926667E-1,-2.067650299E0,4.045487366E0,8.500672760E0
7.352326667E-1,-2.181713104E0,4.118685150E0,8.591683502E0
7.452726667E-1,-2.283501434E0,4.276906128E0,8.752149811E0
7.553126667E-1,-2.307900696E0,4.345164185E0,8.905580750E0
7.653536667E-1,-2.219734039E0,4.342619476E0,9.025780792E0
7.754246667E-1,-2.182760925E0,4.364474030E0,9.069938965E0
7.854646667E-1,-2.026485901E0,4.312532043E0,9.067244568E0
7.955046667E-1,-1.839225311E0,4.278852081E0,9.093440094E0
8.055446667E-1,-1.748663635E0,4.294270020E0,9.150022430E0
8.155856667E-1,-1.652264099E0,4.312681732E0,9.119485931E0
8.256556667E-1,-1.550775146E0,4.294419708E0,8.978928223E0
8.356966667E-1,-1.502425690E0,4.276457062E0,8.881031799E0
8.457366667E-1,-1.503922577E0,4.292324066E0,8.822503510E0
8.557766667E-1,-1.560205536E0,4.284839630E0,8.846154327E0
8.658176667E-1,-1.712438965E0,4.274211731E0,8.919352112E0
8.758576667E-1,-1.904938660E0,4.236939240E0,8.995992737E0
8.859286667E-1,-1.962868195E0,4.147425385E0,9.049431610E0
8.959686667E-1,-1.910626831E0,4.128115540E0,9.134305115E0
9.060086667E-1,-1.807790680E0,4.096231842E0,9.106013947E0
9.160496667E-1,-1.705702972E0,4.012555847E0,9.098230133E0
9.260896667E-1,-1.630708923E0,3.951782227E0,9.230554962E0
9.361296667E-1,-1.577419739E0,3.903133392E0,9.446555786E0
9.462006667E-1,-1.571132813E0,3.833977203E0,9.477092285E0
9.562406667E-1,-1.517843628E0,3.753744049E0,9.513766022E0
9.662806667E-1,-1.435365143E0,3.712879028E0,9.607920227E0
9.763216667E-1,-1.338366852E0,3.691323853E0,9.629325714E0
9.863616667E-1,-1.268162842E0,3.686084747E0,9.603728943E0
9.964326667E-1,-1.269959106E0,3.702999573E0,9.558073883E0
1.006472667E0,-1.290466461E0,3.732338562E0,9.514514465E0
1.016512667E0,-1.259929962E0,3.761976929E0,9.457483063E0
1.026553667E0,-1.154698792E0,3.796704712E0,9.363628235E0
1.036593667E0,-1.055754547E0,3.795656891E0,9.228459320E0
1.046633667E0,-9.562115479E-1,3.782184906E0,9.124874725E0
1.056704667E0,-8.158035278E-1,3.788471832E0,8.964258728E0
1.066744667E0,-7.017407227E-1,3.822750549E0,8.843908997E0
1.076785667E0,-6.246510315E-1,3.914659424E0,8.847501526E0
1.086825667E0,-5.779481506E-1,4.005969543E0,8.811276855E0
1.096865667E0,-6.179150391E-1,4.061953125E0,8.764723663E0
1.106936667E0,-7.096742249E-1,4.081562347E0,8.775501251E0
1.116976667E0,-7.972421265E-1,4.082610168E0,8.856333160E0
1.127017667E0,-8.195457458E-1,4.085454254E0,8.977281647E0
1.137057667E0,-7.369175720E-1,4.079766083E0,9.002579041E0
1.147097667E0,-6.403683472E-1,4.066743164E0,8.963809662E0
1.157137667E0,-5.611830139E-1,4.067940674E0,8.944050751E0
1.167208667E0,-5.728587341E-1,4.093836823E0,8.975485382E0
1.177238333E0,-6.393205261E-1,4.152215424E0,9.054071960E0
1.187278333E0,-6.806346130E-1,4.223167877E0,9.151070251E0
1.197318333E0,-6.605763245E-1,4.262536011E0,9.264384613E0
1.207358333E0,-6.505471802E-1,4.328698425E0,9.335187378E0
1.217399333E0,-6.345304871E-1,4.361929321E0,9.346414032E0
1.227469333E0,-5.572911072E-1,4.319118347E0,9.303603058E0
1.237510333E0,-5.530998230E-1,4.300257568E0,9.280550995E0
1.247550333E0,-6.117778015E-1,4.337230682E0,9.321865082E0
1.257590333E0,-6.403683472E-1,4.379592590E0,9.252708893E0
1.267631333E0,-6.256988525E-1,4.400399323E0,9.156459045E0
1.277701333E0,-7.496411133E-1,4.491110687E0,9.292975159E0
1.287742333E0,-9.454339600E-1,4.528981934E0,9.436526642E0
1.297782333E0,-1.010398865E0,4.455185394E0,9.478738861E0
1.307822333E0,-9.062155151E-1,4.406536560E0,9.484876099E0
1.317863333E0,-8.093669128E-1,4.395609283E0,9.427545319E0
1.327903333E0,-7.641609192E-1,4.392016754E0,9.312734070E0
1.337974333E0,-7.265890503E-1,4.480931854E0,9.289831696E0
1.348014333E0,-8.072712708E-1,4.656067657E0,9.203461304E0
1.358054333E0,-1.057401123E0,4.908742218E0,9.229507141E0
1.368094333E0,-1.535207520E0,5.281018066E0,9.640702057E0
1.378135333E0,-2.014211426E0,5.780229950E0,1.001926483E1
1.388206333E0,-2.010768585E0,6.198759613E0,1.004950195E1
1.398246333E0,-1.711989899E0,6.379433899E0,9.918075256E0
1.408286333E0,-1.494492188E0,6.546037445E0,9.733808441E0
1.418326333E0,-1.546733551E0,6.863826599E0,9.864786072E0
1.428367333E0,-1.737586670E0,7.217690735E0,1.006207581E1
1.438407333E0,-1.750609589E0,7.501350861E0,9.792336731E0
1.448478333E0,-1.731748810E0,7.604037323E0,9.578730927E0
1.458518333E0,-1.789229279E0,7.599995728E0,9.437574463E0
1.468558333E0,-1.758243713E0,7.713908844E0,9.399403839E0
1.478599333E0,-1.689087524E0,7.787855072E0,9.223519592E0
1.488639333E0,-1.373992767E0,7.468119965E0,8.344846802E0
1.498679333E0,-9.466314697E-1,6.943311310E0,7.561226349E0
1.508750333E0,-5.252577209E-1,6.283333740E0,6.540199585E0
1.518790333E0,-1.240919495E-1,5.451513519E0,4.976700897E0
1.528831333E0,8.502319336E-2,4.922663269E0,3.799399109E0
1.538871333E0,1.288819885E-1,4.192332001E0,2.409239960E0
1.548911333E0,6.890171814E-1,3.367247772E0,6.938072205E-1
1.558982333E0,3.641926575E-1,2.392774200E0,3.658392334E-1
1.569022333E0,-6.333329773E-1,1.711241455E0,1.670526123E0
1.579062333E0,4.031117249E-1,1.736838226E0,1.351539459E0
1.589103333E0,8.177494812E-1,9.659413147E-1,1.042731628E0
1.599143333E0,4.528083801E-1,1.055305481E-1,9.677375793E-1
1.609183333E0,8.891510010E-2,2.709365845E-2,3.532653809E-2
1.619254333E0,1.025367737E-1,4.221221924E-2,6.062393188E-2
1.629294333E0,9.669891357E-2,3.562591553E-2,8.173004150E-2
1.639335333E0,8.906478882E-2,3.577560425E-2,8.262817383E-2
1.649375333E0,9.894424438E-2,3.338058472E-2,1.019380188E-1
1.659415333E0,9.624984741E-2,3.218307495E-2,1.086740112E-1
1.669486333E0,9.610015869E-2,3.787124634E-2,1.243913269E-1
1.679526333E0,9.744735718E-2,4.176315308E-2,1.540296936E-1
1.689567333E0,9.969268799E-2,3.592529297E-2,1.683998108E-1
1.699607333E0,9.939331055E-2,4.730163574E-2,1.830693054E-1
1.709647333E0,9.325607300E-2,3.532653809E-2,2.029779053E-1
1.719687333E0,9.011260986E-2,3.487747192E-2,2.106120300E-1
1.729758333E0,9.490264893E-2,3.592529297E-2,2.174977112E-1
1.739799333E0,9.116043091E-2,4.550537109E-2,2.378553772E-1
1.749839333E0,9.969268799E-2,3.682342529E-2,2.477348328E-1
1.759879333E0,9.220825195E-2,4.086502075E-2,2.659968567E-1
1.769919333E0,9.729766846E-2,2.619552612E-2,2.885998535E-1
1.779960333E0,9.639953613E-2,3.338058472E-2,2.923420715E-1
