"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.586127917E-1,-1.119352803E-1,-4.671773314E-1,-1.209377870E-1
1.686436667E-1,-2.189446986E-1,-6.413612366E-1,-1.871164590E-1
1.786836667E-1,-3.693568408E-1,-7.896831036E-1,-2.183271050E-1
1.887546667E-1,-5.482187271E-1,-9.074447155E-1,-1.427175254E-1
1.987946667E-1,-6.995696425E-1,-9.082769752E-1,4.055909067E-2
2.088346667E-1,-7.881393433E-1,-8.839138746E-1,1.478221864E-1
2.188746667E-1,-8.329933286E-1,-1.041845918E0,1.838406473E-1
2.289156667E-1,-8.868752122E-1,-1.202532530E0,2.022151202E-1
2.389866667E-1,-8.842030168E-1,-9.891718626E-1,1.922375858E-1
2.490266667E-1,-7.941823006E-1,-6.278655529E-1,1.570304483E-1
2.590666667E-1,-6.648834348E-1,-3.979537785E-1,1.090517342E-1
2.691066667E-1,-5.604538321E-1,-3.326871693E-1,7.605317235E-2
2.791476667E-1,-4.896984100E-1,-3.487644196E-1,6.154160574E-2
2.891876667E-1,-4.557490051E-1,-3.734509647E-1,5.915892497E-2
2.992586667E-1,-4.671329260E-1,-3.953472078E-1,8.374869078E-2
3.092986667E-1,-5.115806460E-1,-3.916710913E-1,1.973936856E-1
3.193386667E-1,-5.586046576E-1,-3.630018830E-1,3.897253275E-1
3.293796667E-1,-6.100959778E-1,-4.119762480E-1,5.192801952E-1
3.394196667E-1,-6.474694610E-1,-4.335848689E-1,5.753887296E-1
3.494596667E-1,-6.478493214E-1,-3.876356483E-1,6.156991720E-1
3.595306667E-1,-5.847076178E-1,-2.555814683E-1,6.922094226E-1
3.695706667E-1,-4.488860369E-1,-1.390251964E-1,7.758525014E-1
3.796116667E-1,-3.366060853E-1,-2.247739285E-1,7.299752831E-1
3.896516667E-1,-2.981994152E-1,-5.068566203E-1,5.699231029E-1
3.996916667E-1,-2.900589406E-1,-8.418021202E-1,3.172019124E-1
4.097626667E-1,-2.821328640E-1,-1.015710473E0,5.655523390E-2
4.198026667E-1,-2.454640567E-1,-9.218931794E-1,-1.111277714E-1
4.298436667E-1,-1.502925307E-1,-7.845575809E-1,-1.207361370E-1
4.398836667E-1,-8.986940980E-2,-5.367999673E-1,-1.564731002E-1
4.499236667E-1,-5.957106501E-2,-2.482273281E-1,-2.694597840E-1
4.599636667E-1,-3.857763112E-2,-4.758264124E-2,-4.204348922E-1
4.700346667E-1,-3.478676081E-3,1.172522083E-3,-6.172474027E-1
4.800746667E-1,8.875031769E-2,2.599558048E-2,-8.029163480E-1
4.901156667E-1,3.077385724E-1,1.905497313E-1,-9.091836810E-1
5.001556667E-1,5.638851523E-1,4.816265702E-1,-9.391570091E-1
5.101956667E-1,8.872843981E-1,8.487579823E-1,-9.296013713E-1
5.202666667E-1,1.429942846E0,7.397918701E-1,-1.003114462E0
5.303066667E-1,2.027835131E0,6.092087030E-1,-9.608479738E-1
5.403476667E-1,2.493915558E0,9.444304109E-1,-7.348840833E-1
5.503876667E-1,2.741708755E0,7.831598520E-1,-3.668809235E-1
5.604276667E-1,2.486329317E0,6.137321144E-2,1.417106688E-1
5.704686667E-1,1.888777018E0,-5.385078192E-1,3.682212830E-1
5.805386667E-1,1.218919039E0,-4.570606053E-1,4.232960045E-1
5.905796667E-1,4.853966832E-1,-4.612583518E-1,4.326772690E-1
6.006196667E-1,-1.193054542E-1,-1.970030069E-1,3.809264600E-1
6.106596667E-1,-4.946074188E-1,2.918841839E-1,2.569542825E-1
6.206996667E-1,-7.209159136E-1,6.611996293E-1,1.172962710E-1
6.307406667E-1,-7.950795293E-1,8.616604805E-1,3.532071132E-3
6.408116667E-1,-7.271923423E-1,9.574716687E-1,-8.011728525E-2
6.508516667E-1,-5.693689585E-1,9.122872949E-1,-1.689305753E-1
6.608916667E-1,-3.762370050E-1,7.771062851E-1,-2.297515869E-1
6.709316667E-1,-1.911575347E-1,6.121211052E-1,-2.171918601E-1
6.809726667E-1,-5.405667424E-2,4.255687892E-1,-1.385281980E-1
6.910426667E-1,3.851227090E-2,2.277217060E-1,-1.952296682E-2
7.010836667E-1,1.018110812E-1,4.697243124E-2,1.047473177E-1
7.111236667E-1,1.496258676E-1,-9.096270055E-2,1.936056316E-1
7.211636667E-1,1.756939590E-1,-2.037630230E-1,2.433422953E-1
7.312046667E-1,1.637992561E-1,-3.145138025E-1,2.639260590E-1
7.412446667E-1,1.063104048E-1,-4.255356491E-1,2.630322874E-1
7.513156667E-1,1.829767786E-2,-5.315343738E-1,2.358675450E-1
7.613556667E-1,-6.023041904E-2,-6.080962420E-1,1.914100796E-1
7.713956667E-1,-9.612062573E-2,-6.153671741E-1,1.271449327E-1
7.814366667E-1,-1.030549631E-1,-5.761841536E-1,6.533562392E-2
7.914766667E-1,-9.889322519E-2,-5.122163892E-1,2.645549923E-2
8.015476667E-1,-9.799733758E-2,-4.556822777E-1,2.132651769E-2
8.115876667E-1,-1.026056856E-1,-3.875970840E-1,4.805511981E-2
8.216276667E-1,-1.245983317E-1,-3.065001070E-1,8.624352515E-2
8.316676667E-1,-1.756100804E-1,-2.136124223E-1,1.163469329E-1
8.417086667E-1,-2.578010857E-1,-1.291361600E-1,1.225294620E-1
8.517486667E-1,-3.631257117E-1,-8.490133286E-2,1.035456508E-1
8.618196667E-1,-4.588514268E-1,-1.030931175E-1,6.434498727E-2
8.718596667E-1,-5.244753361E-1,-1.807281077E-1,1.192856207E-2
8.818996667E-1,-5.343673825E-1,-2.911912501E-1,-3.288657963E-2
8.919406667E-1,-4.976757765E-1,-3.975023329E-1,-6.392952055E-2
9.019806667E-1,-4.284359813E-1,-4.393869340E-1,-9.049801528E-2
9.120206667E-1,-3.644128144E-1,-4.416264296E-1,-1.089434400E-1
9.220916667E-1,-3.188163042E-1,-4.514207542E-1,-1.144348830E-1
9.321316667E-1,-2.654864490E-1,-4.631283581E-1,-1.181837618E-1
9.421726667E-1,-1.823529601E-1,-4.219004810E-1,-1.145948842E-1
9.522126667E-1,-9.522727132E-2,-3.620010614E-1,-9.787909687E-2
9.622526667E-1,-3.124136478E-2,-2.780609131E-1,-7.129063457E-2
9.723236667E-1,-1.685947739E-2,-1.680966169E-1,-4.599497095E-2
9.823636667E-1,-6.009457260E-2,-5.200862139E-2,-3.302404284E-2
9.924046667E-1,-1.476187110E-1,4.724061489E-2,-2.706344053E-2
1.002444667E0,-2.487679720E-1,1.122289374E-1,-2.125455439E-2
1.012484667E0,-3.276266754E-1,1.322285384E-1,-1.293273270E-2
1.022524667E0,-3.609675765E-1,1.273035556E-1,-4.449232947E-3
1.032595667E0,-3.477004468E-1,1.080388576E-1,-4.119431600E-3
1.042635667E0,-2.879641652E-1,9.324126691E-2,-1.082260814E-2
1.052676667E0,-2.146389186E-1,1.197909787E-1,-2.745879069E-2
1.062716667E0,-1.740193069E-1,1.565812081E-1,-4.005181417E-2
1.072756667E0,-1.873915046E-1,1.650815159E-1,-5.404778570E-2
1.082827667E0,-2.508679330E-1,1.721988171E-1,-7.317621261E-2
1.092867667E0,-3.423215747E-1,1.599462479E-1,-9.606625885E-2
1.102908667E0,-4.303297400E-1,1.123430431E-1,-1.267251074E-1
1.112948667E0,-4.815858603E-1,2.504019067E-2,-1.519736648E-1
1.122988667E0,-4.674711227E-1,-8.121141791E-2,-1.653464586E-1
1.133029667E0,-3.877484798E-1,-1.638638526E-1,-1.621149033E-1
1.143099667E0,-2.752741277E-1,-1.961386949E-1,-1.499109566E-1
1.153140667E0,-1.742762625E-1,-1.988854110E-1,-1.319151968E-1
1.163180667E0,-1.154691428E-1,-1.999530792E-1,-1.191895604E-1
1.173209333E0,-1.201483309E-1,-2.144176215E-1,-1.147268414E-1
1.183249333E0,-1.712013930E-1,-2.448721975E-1,-1.251504570E-1
1.193290333E0,-2.197839469E-1,-2.668184936E-1,-1.434592903E-1
1.203361333E0,-2.350686342E-1,-2.762687206E-1,-1.658847034E-1
1.213401333E0,-2.061239183E-1,-2.536101341E-1,-1.889216602E-1
1.223441333E0,-1.591255218E-1,-2.103830129E-1,-2.102277428E-1
1.233481333E0,-1.121827886E-1,-1.894339174E-1,-2.274141312E-1
1.243522333E0,-7.491584122E-2,-1.783690155E-1,-2.379946113E-1
1.253592333E0,-5.763863772E-2,-1.308587193E-1,-2.674938142E-1
