"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.722625003E-3,-6.046376495E0,5.617667999E0,5.719606018E0
1.676262500E-2,-6.181096344E0,5.623356171E0,5.726342010E0
2.683362500E-2,-6.162085876E0,5.608087921E0,5.777086487E0
3.687462500E-2,-6.018235016E0,5.520969086E0,5.855822754E0
4.691462500E-2,-5.871540070E0,5.403313751E0,5.883515167E0
5.695462500E-2,-5.805527344E0,5.369633789E0,5.886059875E0
6.699462501E-2,-5.798192596E0,5.389392700E0,5.881419525E0
7.706562500E-2,-5.818699951E0,5.413043518E0,5.875731354E0
8.710662500E-2,-5.736071777E0,5.451363831E0,5.966442719E0
9.714662500E-2,-5.591472473E0,5.450465698E0,5.992937622E0
1.071866250E-1,-5.429509277E0,5.498366089E0,5.916446686E0
1.172266250E-1,-5.231321411E0,5.640121307E0,5.992189178E0
1.272676250E-1,-5.262756042E0,5.743256836E0,6.056555328E0
1.373376250E-1,-5.522765350E0,5.873036957E0,6.162085876E0
1.473786250E-1,-5.629343719E0,5.923931122E0,6.357579346E0
1.574186250E-1,-5.556145935E0,5.790408783E0,6.536307678E0
1.674586250E-1,-5.315596161E0,5.579796753E0,6.627318420E0
1.774996250E-1,-5.061125336E0,5.449866943E0,6.829996948E0
1.875696250E-1,-4.750670929E0,5.429060211E0,7.058871002E0
1.976106250E-1,-4.446204071E0,5.263354797E0,6.657705231E0
2.076506250E-1,-4.158801727E0,5.339396667E0,6.850504303E0
2.176906250E-1,-3.801345062E0,5.478906555E0,7.849826202E0
2.277316250E-1,-4.212539978E0,5.464536438E0,7.528145142E0
2.377716250E-1,-4.619244232E0,5.075495453E0,6.836433563E0
2.478426250E-1,-4.585115204E0,4.737348633E0,7.539970551E0
2.578826250E-1,-4.434528351E0,4.512965240E0,8.218808899E0
2.679226250E-1,-4.440216522E0,4.431085510E0,8.150251465E0
2.779626250E-1,-4.542154541E0,4.582720184E0,7.943830719E0
2.880036250E-1,-4.722828827E0,4.775519257E0,7.983049164E0
2.980436250E-1,-5.118755493E0,4.689597931E0,8.200397186E0
3.081146250E-1,-5.044659576E0,4.207749939E0,7.467820587E0
