"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.614466250E-1,-2.185413986E-1,-1.217594028E0,-6.108544469E-1
1.714876250E-1,-3.401210010E-1,-1.256248355E0,-7.806966901E-1
1.815276250E-1,-4.471468031E-1,-1.315972686E0,-9.280312657E-1
1.915676250E-1,-5.686637759E-1,-1.161696672E0,-1.050349355E0
2.016076250E-1,-7.150833011E-1,-1.017666221E0,-1.116383553E0
2.116786250E-1,-8.957130313E-1,-1.045542479E0,-1.097862601E0
2.217196250E-1,-9.897023439E-1,-8.276171088E-1,-1.102715850E0
2.317596250E-1,-9.852457047E-1,-4.459256530E-1,-1.127901435E0
2.417996250E-1,-9.483443499E-1,-2.702893615E-1,-1.160947323E0
2.518396250E-1,-9.111677408E-1,-3.453003168E-1,-1.192693472E0
2.618806250E-1,-8.907870650E-1,-4.453938603E-1,-1.217034221E0
2.719506250E-1,-8.747363687E-1,-5.051870346E-1,-1.240715623E0
2.819916250E-1,-8.493412733E-1,-6.193493009E-1,-1.265846014E0
2.920316250E-1,-8.464972973E-1,-6.390218735E-1,-1.327321053E0
3.020716250E-1,-6.286054254E-1,-7.121898532E-1,-1.374362588E0
3.121126250E-1,-2.948809266E-1,-1.252802134E0,-1.381719232E0
3.221826250E-1,1.530849040E-1,-2.083576202E0,-1.317390084E0
3.322236250E-1,6.404999495E-1,-2.523685932E0,-1.240054250E0
3.422636250E-1,1.032617331E0,-2.418003559E0,-1.146007657E0
3.523036250E-1,1.278414607E0,-2.135963917E0,-1.027533293E0
3.623446250E-1,1.343319535E0,-1.627654791E0,-8.591197729E-1
3.723846250E-1,1.120284915E0,-9.304954410E-1,-6.374812126E-1
3.824556250E-1,5.928259492E-1,-2.932273448E-1,-4.800689816E-1
3.924956250E-1,-9.741896391E-2,2.357645035E-1,-3.742680550E-1
4.025356250E-1,-7.691350579E-1,7.109217048E-1,-2.336901724E-1
4.125756250E-1,-1.276668429E0,8.577832580E-1,5.214065686E-2
4.226166250E-1,-1.631797552E0,6.246485114E-1,3.598412275E-1
4.326826250E-1,-1.960440159E0,1.951523870E-1,4.785727262E-1
4.427226250E-1,-2.245198488E0,-3.635774553E-1,4.669419229E-1
4.527626250E-1,-2.390128136E0,-1.097052813E0,5.307086706E-1
4.628026250E-1,-2.376309395E0,-1.712966084E0,7.077042460E-1
4.728436250E-1,-2.194955587E0,-2.048142433E0,9.657296538E-1
4.828836250E-1,-1.879949093E0,-1.959850788E0,1.235079646E0
4.929546250E-1,-1.491485596E0,-1.432238817E0,1.430663586E0
5.029946250E-1,-1.043396711E0,-6.722708941E-1,1.531335354E0
5.130346250E-1,-4.754477739E-1,-2.587488890E-1,1.467388511E0
5.230756250E-1,-2.290327102E-3,-6.380895525E-2,1.316609144E0
5.331156250E-1,2.865627706E-1,-1.986056566E-1,1.134292364E0
5.431556250E-1,5.070589185E-1,1.958617568E-1,9.558757544E-1
5.532266250E-1,5.970100760E-1,-5.054594278E-1,6.978623867E-1
5.632666250E-1,5.755151510E-1,-1.040881038E0,3.834870756E-1
5.733076250E-1,5.245173573E-1,-1.786970258E0,1.546087116E-1
5.833476250E-1,5.264476538E-1,-2.844746351E0,-2.205554210E-2
5.933876250E-1,6.884099245E-1,-4.511592388E0,-7.536227256E-2
6.034586250E-1,1.227097631E0,-6.060354710E0,2.389346659E-1
6.134986250E-1,2.128864050E0,-7.013862610E0,9.972344041E-1
6.235396250E-1,3.075602055E0,-7.366401196E0,1.828321695E0
6.335796250E-1,3.635493040E0,-7.994744778E0,2.262102365E0
6.436196250E-1,3.315144300E0,-9.340862274E0,1.958391190E0
6.536596250E-1,2.706641197E0,-1.011727428E1,1.721858382E0
6.637306250E-1,2.262773037E0,-9.952727318E0,2.395726442E0
6.737706250E-1,2.190110445E0,-1.005366898E1,3.664657831E0
6.838116250E-1,2.316568136E0,-1.003772640E1,4.840668201E0
6.938516250E-1,2.465133667E0,-9.719509125E0,5.721560478E0
7.038916250E-1,2.535424471E0,-9.614113808E0,6.557787895E0
7.139626250E-1,2.727858543E0,-9.684509277E0,7.673761368E0
7.240026250E-1,3.100214481E0,-9.260975838E0,8.859897614E0
7.340436250E-1,3.440906525E0,-7.992309093E0,9.622856140E0
7.440836250E-1,3.398162603E0,-6.385073185E0,9.892054558E0
7.541236250E-1,2.901787281E0,-5.054167747E0,9.867766380E0
7.641646250E-1,2.320973635E0,-3.971878767E0,9.588197708E0
7.742346250E-1,2.028069496E0,-3.135266781E0,9.123323441E0
7.842756250E-1,2.016064167E0,-2.617024899E0,8.516185760E0
7.943156250E-1,2.210711479E0,-2.305691242E0,7.822683334E0
8.043556250E-1,2.481669426E0,-2.034830570E0,7.047227859E0
8.143956250E-1,2.682176352E0,-1.618090034E0,6.202000618E0
