"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.439249995E-3,1.430425415E0,1.803749084E-1,9.879455566E0
1.547925000E-2,1.492246857E0,2.092648315E-1,9.764644318E0
2.551925000E-2,1.547781372E0,3.429368591E-1,9.668394470E0
3.556025000E-2,1.495989075E0,4.390370178E-1,9.650132446E0
4.560025000E-2,1.368603973E0,3.490740967E-1,9.691596222E0
5.564025000E-2,1.309626617E0,2.471360779E-1,9.759405212E0
6.568124999E-2,1.268013153E0,1.158590698E-1,9.740993500E0
7.575125000E-2,1.247505798E0,6.436614990E-3,9.816586304E0
8.579225000E-2,1.259331207E0,-2.260299683E-2,9.822573853E0
9.583225000E-2,1.249152374E0,2.993774414E-4,9.881700897E0
1.058722500E-1,1.314865723E0,9.475296021E-2,9.946665802E0
1.159122500E-1,1.321901093E0,1.007405090E-1,9.889634399E0
1.259532500E-1,1.328936462E0,8.262817383E-2,9.791139221E0
1.360242500E-1,1.244961090E0,7.364685059E-2,9.695937195E0
1.460642500E-1,1.165775757E0,1.359173584E-1,9.685758362E0
1.561042500E-1,1.172960815E0,1.438508606E-1,9.668095093E0
1.661442500E-1,1.213376770E0,7.259902954E-2,9.716294861E0
1.761852500E-1,1.225052490E0,-7.484436035E-4,9.705217896E0
1.862252500E-1,1.185534668E0,-6.990463257E-2,9.618398438E0
1.962652500E-1,1.160985718E0,-7.185058594E-2,9.591753845E0
2.063362500E-1,1.209035797E0,5.538482666E-2,9.693991241E0
2.163762500E-1,1.287772064E0,7.574249268E-2,9.689799957E0
2.264172500E-1,1.309027863E0,4.790039062E-3,9.671537933E0
2.364572500E-1,1.353485413E0,5.373825073E-2,9.760902100E0
2.464972500E-1,1.369801483E0,3.457809448E-2,9.772278442E0
2.565372500E-1,1.321002960E0,-6.406677246E-2,9.756710815E0
2.665782500E-1,1.239721985E0,-2.092648315E-1,9.729018402E0
2.766492500E-1,1.148112488E0,-4.305047607E-1,9.667496338E0
2.866892500E-1,9.780661011E-1,-6.264472961E-1,9.553732910E0
2.967292500E-1,7.833210754E-1,-6.852749634E-1,9.397308197E0
3.067692500E-1,6.583309937E-1,-6.704557800E-1,9.339678040E0
3.168102500E-1,6.972500610E-1,-8.568182373E-1,9.270671539E0
3.268502500E-1,7.457492065E-1,-1.077459412E0,9.204359436E0
3.369212500E-1,7.824229431E-1,-9.325607300E-1,9.279952240E0
3.469612500E-1,7.634124756E-1,-9.151968384E-1,9.360335083E0
3.570012500E-1,6.321354675E-1,-1.177750854E0,9.279503174E0
3.670422500E-1,3.682342529E-1,-1.485361176E0,9.198820953E0
3.770822500E-1,7.574249268E-2,-1.897304535E0,9.098828888E0
3.871222500E-1,-2.570155334E-1,-2.402803345E0,8.845555573E0
3.971622500E-1,-7.758366394E-1,-2.903063049E0,8.626860352E0
4.072332500E-1,-1.329535217E0,-3.124452667E0,8.479866028E0
4.172742500E-1,-1.720971222E0,-2.970722351E0,8.280480652E0
4.273142500E-1,-1.826202393E0,-2.571951599E0,8.537945251E0
4.373542500E-1,-1.785487061E0,-2.393372955E0,8.603508911E0
4.473942500E-1,-1.682501221E0,-2.507585449E0,8.498876495E0
4.574352500E-1,-1.574425964E0,-2.610421600E0,8.628806305E0
4.674752500E-1,-1.383872223E0,-2.573598175E0,8.801996155E0
4.775462500E-1,-1.260079651E0,-2.457739105E0,8.637787628E0
4.875862500E-1,-1.128652954E0,-2.446512451E0,8.306825867E0
4.976262500E-1,-1.079255676E0,-2.598147125E0,8.290360107E0
5.076672500E-1,-1.343605957E0,-2.697989502E0,8.197852478E0
5.177072500E-1,-1.660796356E0,-2.707419891E0,7.992479553E0
5.277472500E-1,-1.795965271E0,-2.691403198E0,8.042026520E0
5.377872500E-1,-1.977687378E0,-2.615211639E0,8.096213837E0
5.478582500E-1,-2.111060028E0,-2.634970551E0,8.216563568E0
5.578992500E-1,-2.280058594E0,-2.845881958E0,8.327033844E0
5.679392500E-1,-2.441123657E0,-3.164419556E0,8.481063538E0
5.779792500E-1,-2.584375763E0,-3.572920074E0,8.569679260E0
5.880192500E-1,-2.664159851E0,-4.032614136E0,8.400830383E0
5.980602500E-1,-2.615810394E0,-4.594695282E0,8.179440765E0
6.081312500E-1,-2.413730621E0,-5.295238495E0,8.674611053E0
6.181712500E-1,-1.959125977E0,-5.604794769E0,9.747280426E0
6.282112500E-1,-1.899549866E0,-4.651277618E0,1.029723679E1
6.382512500E-1,-2.365830231E0,-2.128872986E0,1.032612671E1
6.482922500E-1,-2.856060791E0,-1.250349884E0,1.084779190E1
6.583322500E-1,-2.941083984E0,-2.072140961E0,1.046848068E1
6.683722500E-1,-3.236569519E0,-3.761527863E0,9.032516785E0
6.784432500E-1,-3.539389801E0,-5.144951019E0,7.888445892E0
6.884832500E-1,-3.617227936E0,-5.949677582E0,7.471862183E0
6.985242500E-1,-3.984264679E0,-6.645879822E0,7.401658173E0
7.085642500E-1,-4.600982208E0,-7.483837280E0,7.125931549E0
7.186042500E-1,-5.218597870E0,-7.589218140E0,6.221961365E0
7.286442500E-1,-5.399870911E0,-6.888375549E0,5.800138550E0
7.386852500E-1,-5.074747009E0,-6.199957123E0,6.264472961E0
7.487562500E-1,-4.561165009E0,-5.941145325E0,6.649023285E0
7.587962500E-1,-3.762126617E0,-5.818101196E0,7.011120300E0
7.688362500E-1,-3.225642242E0,-5.633984070E0,7.930658112E0
7.788762500E-1,-2.758912811E0,-4.534071350E0,8.891060944E0
7.889172500E-1,-2.525248718E0,-3.753294983E0,8.780440979E0
7.989572500E-1,-1.296903076E0,-3.512745209E0,7.430398407E0
8.090282500E-1,-2.104623413E-1,-5.061574402E0,5.307962036E0
8.190682500E-1,-1.796264648E-1,-8.415799255E0,5.515131226E0
8.291082500E-1,-8.705895996E-1,-1.141376495E1,3.715423737E0
8.391492500E-1,-2.247426453E0,-1.451262085E1,1.986519012E0
8.491892500E-1,-3.915258179E0,-1.717423599E1,1.885179749E0
8.592292500E-1,-5.106181641E0,-1.701047653E1,1.996847534E0
8.692692500E-1,-5.144951019E0,-1.360176498E1,2.514321442E0
8.793402500E-1,-3.600911865E0,-9.539811859E0,2.185006256E0
8.893812500E-1,-2.239343262E0,-6.722370758E0,1.804647217E0
8.994212500E-1,-2.052980804E0,-5.057233429E0,2.402054901E0
9.094612500E-1,-2.110311584E0,-3.808679810E0,3.344644775E0
9.195012500E-1,-2.759960632E0,-2.679278412E0,7.297774200E0
9.295317917E-1,-4.120780792E0,-1.896406403E0,1.539533524E1
9.395717917E-1,-4.758155365E0,-2.609822845E0,1.834899307E1
9.496427917E-1,-4.343367920E0,-3.723656616E0,1.546209641E1
9.596827917E-1,-4.096231842E0,-4.341571655E0,1.147618515E1
9.697227917E-1,-5.775888977E0,-6.447542267E0,5.929469604E0
9.797637917E-1,-6.542444916E0,-6.805747375E0,3.326682129E0
9.898037917E-1,-5.384752350E0,-5.310656433E0,3.743714905E0
9.998437917E-1,-6.205196228E0,-5.715115356E0,3.931274872E0
1.009914792E0,-6.184838562E0,-5.513634338E0,6.810537415E0
1.019954792E0,-5.274880829E0,-5.350323944E0,8.752898254E0
1.029995792E0,-5.353617096E0,-5.403762817E0,8.753796387E0
1.040035792E0,-5.126838684E0,-4.817581787E0,6.920558624E0
1.050075792E0,-4.675826569E0,-4.843178558E0,6.532715149E0
1.060115792E0,-4.054019623E0,-5.177732849E0,6.430178375E0
1.070156792E0,-3.503165131E0,-5.395979004E0,5.642216949E0
1.080226792E0,-3.213667145E0,-5.487438812E0,5.537135468E0
1.090267792E0,-3.340004425E0,-5.393583984E0,6.081703033E0
1.100307792E0,-3.929478607E0,-5.205425262E0,6.984326019E0
1.110347792E0,-4.580474854E0,-4.811294861E0,8.099956055E0
1.120388792E0,-4.735402679E0,-4.357139282E0,8.627758484E0
1.130428792E0,-4.522844696E0,-4.439318390E0,8.198151855E0
1.140468792E0,-4.350702667E0,-4.897066498E0,7.402406616E0
1.150539792E0,-4.376149750E0,-5.098397827E0,6.990014191E0
1.160579792E0,-4.818180542E0,-5.095553741E0,7.088209991E0
1.170620792E0,-5.049449615E0,-3.068918152E0,7.319329376E0
1.180660792E0,-5.064568176E0,1.498084717E0,5.896388397E0
1.190700792E0,-4.607269135E0,1.587299194E0,7.484735413E0
1.200740792E0,-4.732109528E0,1.574725342E-1,8.827143860E0
1.210811792E0,-4.433480530E0,-7.837701416E-1,8.413404236E0
1.220851792E0,-3.245251465E0,-2.979254608E0,7.620353394E0
1.230892792E0,-3.139122162E0,-5.876779175E0,6.450835419E0
1.240932792E0,-4.142335968E0,-8.957373047E0,7.113208008E0
1.250972792E0,-4.453089752E0,-1.064077240E1,7.592511292E0
1.261013792E0,-4.007316742E0,-1.018811371E1,5.547463989E0
1.271053792E0,-4.266427917E0,-9.843530273E0,4.323459320E0
1.281124792E0,-4.394561462E0,-9.338181152E0,4.426445160E0
1.291164792E0,-3.757186890E0,-8.134833527E0,5.694308624E0
1.301204792E0,-3.548520813E0,-6.988068237E0,7.614365845E0
1.311245792E0,-3.056344299E0,-5.598657532E0,8.634344788E0
1.321285792E0,-1.647324371E0,-3.400927734E0,9.183702393E0
1.331325792E0,8.765771484E-1,-1.392703857E0,8.268505554E0
1.341396792E0,1.632804565E0,-2.423161011E0,7.353757782E0
1.351436792E0,1.360371094E0,-4.103117523E0,7.202123108E0
1.361476792E0,1.013991394E0,-5.820047150E0,7.028334503E0
1.371517792E0,-5.882766724E-2,-8.872050476E0,7.491471405E0
1.381557792E0,-1.668430481E0,-9.044491882E0,7.332352295E0
1.391597792E0,-2.528841248E0,-8.060587921E0,7.381599884E0
1.401638792E0,-2.552492065E0,-8.168363800E0,7.400610352E0
1.411708792E0,-2.629282379E0,-8.244555359E0,7.592361603E0
1.421749792E0,-2.661764832E0,-7.552095337E0,7.590116272E0
1.431789792E0,-2.164498901E0,-6.561006317E0,7.648045807E0
1.441829792E0,-1.638193359E0,-6.551426239E0,7.882907410E0
1.451870792E0,-1.444346466E0,-6.652166748E0,7.335495758E0
1.461910792E0,-1.138981476E0,-5.677543488E0,6.984924774E0
1.471950792E0,-4.743635559E-1,-5.417534180E0,7.282955017E0
1.482021792E0,-5.269042969E-2,-6.195915527E0,6.631360016E0
1.492061792E0,-2.266287231E-1,-7.143295441E0,6.313121796E0
1.502101792E0,-1.294058990E0,-7.228019257E0,6.685247955E0
1.512142792E0,-2.118694153E0,-7.283853149E0,6.558012543E0
1.522182792E0,-1.998793488E0,-7.472311249E0,6.297554169E0
1.532222792E0,-2.345472565E0,-7.583230591E0,6.316414948E0
1.542293792E0,-2.316582642E0,-7.369175720E0,6.097719727E0
1.552333792E0,-1.946252747E0,-7.324718170E0,5.394631805E0
1.562374792E0,-2.108814697E0,-7.239245911E0,5.707930298E0
1.572414792E0,-2.047292633E0,-7.463928680E0,6.487808533E0
1.582454792E0,-1.929038544E0,-7.583679657E0,7.395221558E0
1.592495792E0,-9.351054382E-1,-6.582860870E0,6.570586395E0
