"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.681592500E-1,-2.213555127E-1,1.347862370E-2,7.050177455E-2
1.781992500E-1,-2.240867466E-1,2.948039770E-2,9.305053949E-2
1.882392500E-1,-2.416353673E-1,4.600238428E-2,1.280514002E-1
1.982792500E-1,-2.671961188E-1,2.915685996E-2,1.530845761E-1
2.083202500E-1,-2.942674160E-1,1.676197723E-2,1.555317491E-1
2.183912500E-1,-2.979771197E-1,2.262325957E-2,1.391759813E-1
2.284312500E-1,-2.840852737E-1,2.399265766E-2,1.075868905E-1
2.384712500E-1,-2.485246062E-1,2.743004635E-2,8.104273677E-2
2.485112500E-1,-2.025014460E-1,2.966470271E-2,7.429748029E-2
2.585522500E-1,-1.710254848E-1,4.255197197E-2,7.924139500E-2
2.685922500E-1,-1.727472246E-1,7.283131778E-2,1.001056656E-1
2.786322500E-1,-2.241816968E-1,1.205162033E-1,1.321769357E-1
2.887032500E-1,-3.218949437E-1,1.861181110E-1,1.836411953E-1
2.987432500E-1,-4.479375482E-1,2.632040381E-1,2.411038876E-1
3.087842500E-1,-5.869745016E-1,3.619111776E-1,2.843102217E-1
3.188242500E-1,-7.143920660E-1,4.473919868E-1,2.792814672E-1
3.288642500E-1,-8.253886104E-1,5.113683343E-1,2.391596287E-1
3.389042500E-1,-9.065421820E-1,5.538251400E-1,1.929021627E-1
3.489452500E-1,-9.635788798E-1,6.695964932E-1,1.760235876E-1
3.590162500E-1,-1.023366928E0,8.312799931E-1,1.980177760E-1
3.690562500E-1,-1.125149369E0,9.918448925E-1,2.484175712E-1
3.790962500E-1,-1.297506213E0,1.225679159E0,3.022985756E-1
3.891362500E-1,-1.569155097E0,1.502061725E0,3.364427090E-1
3.991772500E-1,-1.941046119E0,1.817736983E0,3.729717433E-1
4.092172500E-1,-2.355724096E0,2.147914886E0,3.806214035E-1
4.192882500E-1,-2.767812729E0,2.395424843E0,3.386470079E-1
4.293282500E-1,-3.081806183E0,2.533794403E0,3.212893307E-1
4.393682500E-1,-3.292666912E0,2.595510483E0,3.785034418E-1
4.494092500E-1,-3.452583551E0,2.527158737E0,5.015753508E-1
4.594492500E-1,-3.590015650E0,2.305614471E0,6.561753154E-1
4.694892500E-1,-3.652200937E0,1.977426887E0,8.283627629E-1
4.795292500E-1,-3.606826067E0,1.685291290E0,9.771882892E-1
4.896002500E-1,-3.505625486E0,1.544399738E0,1.096572399E0
4.996412500E-1,-3.335634232E0,1.447320461E0,1.178628564E0
5.096812500E-1,-3.109315634E0,1.363008261E0,1.193687201E0
5.197212500E-1,-2.900393486E0,1.335963964E0,1.151412129E0
5.297612500E-1,-2.726404190E0,1.346120715E0,1.095952868E0
5.398022500E-1,-2.606995583E0,1.382394433E0,1.076955914E0
5.498422500E-1,-2.530653000E0,1.360899568E0,1.109276891E0
5.599132500E-1,-2.500766516E0,1.263120174E0,1.168543220E0
5.699532500E-1,-2.504539967E0,1.072794080E0,1.225916505E0
5.799932500E-1,-2.514466763E0,8.504903316E-1,1.251654387E0
5.900342500E-1,-2.409877777E0,7.583561540E-1,1.200881243E0
6.000742500E-1,-1.801147938E0,8.703802228E-1,9.670127630E-1
6.101142500E-1,-4.035778940E-1,1.160629392E0,5.263733268E-1
6.201852500E-1,1.244841933E0,1.319130182E0,3.434891999E-2
6.302252500E-1,1.900027514E0,1.110671520E0,-1.933127344E-1
6.402662500E-1,1.660448194E0,6.868397593E-1,-2.293072343E-1
6.503062500E-1,8.966495395E-1,5.163652301E-1,-1.478062421E-1
6.603462500E-1,6.749852002E-2,5.068271756E-1,-7.566079497E-2
6.703862500E-1,-5.632791519E-1,5.078029633E-1,-7.086976618E-2
6.804272500E-1,-8.455936313E-1,3.938509524E-1,-1.192858443E-1
6.904972500E-1,-7.938010097E-1,2.117208242E-1,-2.009593993E-1
7.005382500E-1,-6.024165154E-1,1.673858613E-1,-2.890028358E-1
7.105782500E-1,-3.410709202E-1,2.744979262E-1,-4.071918130E-1
7.206182500E-1,-1.314054877E-1,4.111146629E-1,-4.777886271E-1
7.306592500E-1,-6.927128136E-2,4.400014281E-1,-4.464482963E-1
7.406992500E-1,-1.225211695E-1,4.077076912E-1,-3.938238323E-1
7.507392500E-1,-2.309360504E-1,3.014494479E-1,-4.251559377E-1
7.608102500E-1,-3.544712961E-1,2.870645002E-2,-5.963166952E-1
7.708502500E-1,-4.972260594E-1,-4.591292441E-1,-7.900627255E-1
7.808912500E-1,-6.059799790E-1,-8.981392980E-1,-8.466686010E-1
7.909312500E-1,-8.290080428E-1,-6.459379792E-1,-7.601183057E-1
8.009712500E-1,-1.020056844E0,6.885375828E-2,-5.611611605E-1
8.110112500E-1,-1.162989140E0,4.074105024E-1,-3.963706195E-1
8.210822500E-1,-9.541873932E-1,-4.738969356E-2,-1.255181134E-1
8.311222500E-1,-5.797548890E-1,-7.262142897E-1,5.402740836E-2
8.411632500E-1,-1.356762350E-1,-1.291426301E0,1.108573973E-1
8.512032500E-1,3.295286596E-1,-1.469490170E0,2.004448622E-1
8.612432500E-1,8.291388154E-1,-1.249382973E0,6.288696527E-1
8.712842500E-1,1.366859078E0,-5.874640942E-1,1.070232987E0
8.813242500E-1,2.062393904E0,-8.261203766E-2,1.291673660E0
8.913952500E-1,2.765334129E0,-4.227456450E-1,1.360655069E0
9.014352500E-1,3.219629288E0,-2.270588130E-1,1.399544954E0
9.114752500E-1,3.198990583E0,9.410459399E-1,1.392681718E0
9.215057917E-1,2.200406075E0,2.666513443E0,1.252256274E0
9.315457917E-1,9.542080760E-1,3.100688457E0,9.732530713E-1
9.415857917E-1,4.810521379E-2,2.126012325E0,7.557939291E-1
9.516257917E-1,-5.914481282E-1,8.626472950E-1,6.983689666E-1
9.616967917E-1,-7.480994463E-1,1.070158556E-1,3.916834891E-1
9.717367917E-1,-4.547660649E-1,-2.183441222E-1,5.430310965E-3
9.817777917E-1,-1.736377925E-1,-5.847315192E-1,1.082779374E-2
9.918177917E-1,1.914562881E-1,-5.264557004E-1,-1.042836159E-1
1.001857792E0,3.002193570E-1,-5.228552222E-1,-2.817930877E-1
1.011898792E0,1.524741203E-1,-5.022359490E-1,-3.842813969E-1
1.021968792E0,-6.217677146E-2,-3.798448145E-1,-5.530654788E-1
1.032009792E0,-5.320297927E-2,1.987082958E-1,-6.310079694E-1
1.042049792E0,4.836810380E-2,6.264944077E-1,-6.558229923E-1
1.052089792E0,1.484268010E-1,7.312088013E-1,-6.371848583E-1
1.062130792E0,3.242602646E-1,8.090122938E-1,-5.848212242E-1
1.072170792E0,5.448189974E-1,9.098731279E-1,-5.005375147E-1
1.082210792E0,7.025482059E-1,1.039020896E0,-4.100345075E-1
1.092281792E0,7.702723742E-1,1.134479880E0,-3.612376750E-1
1.102321792E0,6.847612262E-1,1.095993757E0,-3.705745637E-1
1.112361792E0,4.583760202E-1,9.142949581E-1,-3.457539082E-1
1.122402792E0,2.246211767E-1,6.773971319E-1,-2.829881907E-1
1.132442792E0,1.139836088E-1,4.539959729E-1,-2.607486844E-1
1.142482792E0,1.041634381E-1,2.510112524E-1,-2.535202205E-1
1.152523792E0,1.173508763E-1,7.804480195E-2,-3.126535714E-1
1.162593792E0,5.170143023E-2,-3.072582185E-1,-3.788003325E-1
1.172634792E0,4.248137474E-1,-8.582300544E-1,-5.536882877E-1
1.182674792E0,2.172710449E-1,-1.001958251E0,-7.509686351E-1
1.192714792E0,-4.022798240E-1,-9.188266397E-1,-1.051074147E0
1.202755792E0,-7.643544674E-1,-1.260854006E0,-1.365929842E0
1.212795792E0,-1.025985003E0,-1.814588308E0,-1.481821299E0
1.222866792E0,-1.211460829E0,-2.395473719E0,-1.442261457E0
1.232906792E0,-1.315792322E0,-2.941976786E0,-1.480359793E0
1.242946792E0,-1.021142840E0,-3.223341465E0,-1.600003839E0
1.252986792E0,-6.363053322E-1,-2.539815187E0,-1.622133374E0
1.263027792E0,-2.133863866E-1,-1.128032804E0,-1.644301772E0
1.273067792E0,1.729213893E-1,3.516594470E-1,-1.642495275E0
1.283107792E0,4.223508537E-1,1.106380820E0,-1.547287464E0
1.293178792E0,4.834056795E-1,8.745436072E-1,-1.533863544E0
1.303218792E0,3.745866716E-1,7.948397100E-2,-1.609009862E0
1.313259792E0,6.140718609E-2,-9.071401954E-1,-1.572736979E0
1.323299792E0,-2.822546661E-1,-1.140101671E0,-1.186112285E0
1.333339792E0,-3.681339025E-1,-9.707536697E-1,-8.996696472E-1
1.343380792E0,-3.153288662E-1,-6.773888469E-1,-6.637918949E-1
1.353420792E0,-2.697674930E-1,-2.670790851E-1,-5.435336232E-1
1.363491792E0,-2.558463514E-1,-1.427061409E-1,-6.393927336E-1
1.373531792E0,-2.478542030E-1,-1.487057060E-1,-5.904217362E-1
1.383571792E0,-3.351233304E-1,-1.794911623E-1,-4.651342034E-1
1.393611792E0,-3.113839030E-1,-2.106288373E-1,-4.954090118E-1
1.403652792E0,-3.798982501E-1,-9.050296247E-2,-5.859580636E-1
1.413692792E0,-4.276774824E-1,8.918610215E-2,-6.551424265E-1
1.423763792E0,-4.718369842E-1,1.819607615E-1,-6.757689118E-1
1.433803792E0,-4.831151962E-1,5.868224427E-2,-6.674585342E-1
1.443843792E0,-4.544125497E-1,-5.738553032E-2,-6.746361256E-1
1.453884792E0,-4.720861018E-1,-6.680087000E-2,-6.732051969E-1
1.463924792E0,-5.464004278E-1,-2.167641371E-1,-6.396675706E-1
1.473964792E0,-5.494089723E-1,-1.428811252E-1,-5.773831606E-1
1.484005792E0,-4.952757359E-1,1.444710232E-2,-5.913649201E-1
1.494075792E0,-4.676566124E-1,-5.442970246E-2,-6.223832965E-1
1.504116792E0,-4.371283054E-1,-1.225752681E-1,-7.404011488E-1
1.514156792E0,-3.632605076E-1,-1.946031302E-1,-8.446553349E-1
1.524196792E0,-2.930382788E-1,-2.419148684E-1,-1.024425626E0
