"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.180000000E-3,-3.078498230E0,4.765190735E0,7.731721802E0
1.322100000E-2,-3.085383911E0,4.734504547E0,7.858957214E0
2.326100000E-2,-3.100352783E0,4.753964081E0,7.999065857E0
3.330100000E-2,-3.129542084E0,4.821773071E0,8.092471619E0
4.334100000E-2,-3.161425781E0,4.903054047E0,8.117769012E0
5.338200000E-2,-3.108585663E0,4.918322296E0,8.068820801E0
6.345300000E-2,-3.066223755E0,4.873265991E0,8.049211578E0
7.349300000E-2,-3.000959473E0,4.796475677E0,7.987240448E0
8.353300000E-2,-2.946921844E0,4.705614624E0,8.025560760E0
9.357300000E-2,-2.907553711E0,4.661905518E0,8.205037537E0
1.036140000E-1,-2.780617676E0,4.686155090E0,8.275391235E0
1.136840000E-1,-2.706970825E0,4.682412872E0,8.307873688E0
1.237250000E-1,-2.690355377E0,4.656965790E0,8.324189758E0
1.337650000E-1,-2.684367828E0,4.614154816E0,8.375083923E0
1.438050000E-1,-2.678679657E0,4.594096527E0,8.415499878E0
1.538460000E-1,-2.687660980E0,4.602030029E0,8.468789062E0
1.638860000E-1,-2.675087128E0,4.644691315E0,8.576864319E0
1.739570000E-1,-2.651735687E0,4.675377502E0,8.632997589E0
1.839970000E-1,-2.616858215E0,4.576133881E0,8.653504944E0
1.940370000E-1,-2.596500549E0,4.433480530E0,8.701255646E0
2.040780000E-1,-2.568957825E0,4.433181152E0,8.716673584E0
2.141180000E-1,-2.546354828E0,4.511767731E0,8.689579926E0
2.241890000E-1,-2.603685608E0,4.407285004E0,8.714278564E0
2.342290000E-1,-2.639311523E0,4.411625977E0,8.851094055E0
2.442690000E-1,-2.680326233E0,4.473746796E0,8.957223358E0
2.543090000E-1,-2.534978485E0,4.540058899E0,9.116791534E0
2.643500000E-1,-2.347418518E0,4.611909485E0,9.219627686E0
2.743900000E-1,-2.281106415E0,4.516108704E0,9.110354919E0
2.844610000E-1,-2.071691895E0,4.298760681E0,8.862769775E0
2.945010000E-1,-1.877845001E0,4.119583282E0,8.462053070E0
3.045410000E-1,-1.589544525E0,3.925586700E0,8.067623291E0
3.145820000E-1,-1.158141632E0,3.564387817E0,7.802524567E0
3.246220000E-1,-8.583151245E-1,3.269950104E0,7.651488647E0
3.346620000E-1,-6.224057007E-1,3.217559052E0,7.839497681E0
3.447330000E-1,-3.763174438E-1,3.383713531E0,8.140372009E0
3.547730000E-1,-1.332229614E-2,3.487747192E0,8.539591827E0
3.648140000E-1,3.412902832E-1,3.308869171E0,8.644523621E0
3.748540000E-1,9.572593689E-1,3.069217529E0,8.253536682E0
3.848940000E-1,1.503174133E0,3.041824493E0,7.666607208E0
3.949650000E-1,1.964215393E0,2.827170868E0,7.150031433E0
4.050050000E-1,2.118245087E0,2.402354279E0,6.976841583E0
4.150460000E-1,2.203567657E0,2.448458405E0,6.850953369E0
4.250860000E-1,1.540895691E0,2.224673767E0,7.329657898E0
4.351260000E-1,-3.864364014E0,-1.383423157E0,1.039348663E1
4.451660000E-1,-7.249275055E0,-3.301833801E0,1.197928894E1
4.552370000E-1,-2.856060791E-1,2.547851715E0,7.661218414E0
4.652780000E-1,2.900518341E0,4.427492981E0,5.919141083E0
4.753180000E-1,2.444716187E0,3.001408539E0,8.336464233E0
4.853580000E-1,1.008452911E0,5.233117676E-1,9.989476776E0
4.953980000E-1,4.170327759E-1,4.459226990E-1,8.870403900E0
5.054690000E-1,7.376660156E-1,1.589095459E0,8.330326996E0
5.155090000E-1,7.776329041E-1,1.470541992E0,9.716594238E0
5.255500000E-1,9.160949707E-2,7.708969116E-2,1.035801041E1
5.355900000E-1,-3.620970154E-1,-6.188131714E-1,9.703421631E0
5.456300000E-1,-6.251000977E-1,-6.664141846E-1,9.778415680E0
5.556710000E-1,-1.276096344E0,-7.177574158E-1,9.953401794E0
5.657410000E-1,-1.635199585E0,-2.206411743E-1,8.757388916E0
5.757820000E-1,-1.181642761E0,7.280859375E-1,7.536078644E0
5.858220000E-1,-1.058299255E0,3.007246399E-1,7.567513275E0
5.958620000E-1,-7.250921631E-1,-1.068777466E-1,8.991502075E0
6.059030000E-1,-1.055305481E-1,2.288740540E-1,9.886341248E0
6.159430000E-1,4.851411438E-1,4.661306763E-1,9.676627350E0
6.260140000E-1,9.569599915E-1,1.110091553E0,1.077668976E1
6.360540000E-1,9.437873840E-1,1.305884399E0,1.088431595E1
6.460940000E-1,5.984555054E-1,5.245092773E-1,9.345066833E0
6.561340000E-1,-3.348536682E-1,3.640429688E-1,8.973240051E0
6.661750000E-1,-5.385800171E-1,7.604187012E-2,9.950258331E0
6.762460000E-1,1.803749084E-1,6.144721985E-1,1.106678650E1
6.862860000E-1,1.757345581E-1,1.112486572E0,1.094883179E1
6.963260000E-1,4.424798584E-1,9.011260986E-2,8.954978027E0
7.063660000E-1,7.262896729E-1,-6.018983459E-1,1.050410660E1
7.164070000E-1,-8.111631775E-1,-3.278182983E-2,1.174128387E1
7.264470000E-1,-1.647773438E0,-4.825964355E-1,1.105990082E1
7.365180000E-1,2.439926147E-1,-7.795788574E-1,1.018018021E1
7.465580000E-1,1.360520782E0,-9.624984741E-2,9.738299103E0
7.565980000E-1,2.321672058E0,4.626878357E-1,9.654922485E0
7.666390000E-1,2.225272522E0,7.009922791E-1,1.003498215E1
7.766790000E-1,1.115180969E-1,2.866539001E-1,1.077788727E1
7.867500000E-1,-8.078700256E-1,-1.507365417E-1,1.080123871E1
7.967900000E-1,9.045689392E-1,4.709207153E-1,9.416917419E0
8.068300000E-1,2.492466888E0,1.216220856E0,9.563013611E0
8.168710000E-1,2.984793091E0,1.186881866E0,1.012599289E1
8.269110000E-1,3.632196808E0,1.037043457E0,9.708960114E0
8.369510000E-1,4.668192444E0,1.462009735E0,8.974437561E0
8.470220000E-1,5.641318817E0,2.067650299E0,8.856333160E0
8.570620000E-1,6.810088348E0,2.779869232E0,9.637857971E0
8.671020000E-1,7.436984711E0,3.034040680E0,8.384664001E0
8.771430000E-1,7.782017212E0,2.584076385E0,7.942034454E0
8.871830000E-1,8.338260498E0,2.558329926E0,8.735085297E0
8.972230000E-1,8.474776611E0,2.726430359E0,8.640931091E0
9.072940000E-1,8.456364899E0,2.598446503E0,9.053922272E0
9.173340000E-1,8.063132629E0,2.294428711E0,8.841064911E0
9.273750000E-1,7.444469147E0,2.070045319E0,7.802823944E0
9.374150000E-1,6.910379791E0,1.944157104E0,7.486232300E0
9.474550000E-1,6.908433838E0,1.709744568E0,7.502698059E0
9.575058750E-1,7.316036224E0,1.517394562E0,7.439230042E0
9.675458750E-1,7.441774750E0,1.310375061E0,7.431146851E0
9.775868750E-1,7.412435760E0,1.025667114E0,7.391329651E0
9.876268750E-1,7.472610626E0,7.849676514E-1,7.430847473E0
9.976668750E-1,7.592062225E0,6.376739502E-1,7.378606110E0
1.007706875E0,7.392227783E0,6.231541443E-1,6.982829132E0
1.017777875E0,6.925947418E0,5.625302124E-1,6.564149780E0
1.027818875E0,6.676865387E0,3.312611389E-1,6.433920593E0
1.037858875E0,6.859785004E0,6.092330933E-2,6.037694550E0
1.047898875E0,7.029831390E0,-2.502795410E-1,5.971382446E0
1.057938875E0,6.856491852E0,-8.577163696E-1,6.298452301E0
1.068009875E0,6.668931885E0,-1.461860046E0,6.390810242E0
1.078049875E0,6.630461884E0,-1.805994415E0,6.169570312E0
1.088090875E0,6.650669861E0,-1.904489594E0,5.655838623E0
1.098130875E0,6.944508820E0,-1.800755310E0,5.127736816E0
1.108170875E0,7.773335266E0,-1.607357483E0,4.462220764E0
1.118211875E0,8.396489410E0,-1.118923187E0,4.156406708E0
1.128281875E0,9.026678925E0,-6.286926270E-1,4.487667847E0
1.138322875E0,9.764644318E0,-4.622387695E-1,4.572092285E0
1.148362875E0,1.033241364E1,-2.727328491E-1,4.189487915E0
1.158402875E0,1.032088760E1,-1.619631958E-1,3.121009827E0
1.168443875E0,1.021580612E1,-1.499880981E-1,1.509461060E0
1.178513875E0,1.026235931E1,1.743873596E-1,3.637435913E-2
1.188554875E0,1.007884094E1,5.257067871E-1,-1.030906219E0
1.198594875E0,1.007674530E1,5.628295898E-1,-1.762285309E0
1.208634875E0,1.019245468E1,2.972817993E-1,-1.832040253E0
1.218674875E0,1.013901581E1,-1.531315613E-1,-1.540895691E0
1.228715875E0,1.005803421E1,-7.183561707E-1,-1.485211487E0
1.238786875E0,9.818532257E0,-1.271755371E0,-1.616338806E0
1.248826875E0,9.455237732E0,-1.912872162E0,-1.770218811E0
1.258866875E0,8.846753082E0,-2.590063934E0,-1.774559784E0
1.268906875E0,8.225694580E0,-3.318299561E0,-1.741478577E0
1.278947875E0,7.926466827E0,-4.171375580E0,-1.467697906E0
1.288987875E0,7.826624451E0,-4.437073059E0,-1.356030121E0
1.299058875E0,8.013435974E0,-4.196074219E0,-1.679208069E0
1.309098875E0,8.249345398E0,-4.208797760E0,-1.920206909E0
1.319138875E0,8.148155823E0,-4.308789825E0,-2.063908081E0
1.329179875E0,8.332123260E0,-4.220473480E0,-2.325563965E0
1.339219875E0,8.630003815E0,-3.909570007E0,-2.377056885E0
1.349290875E0,9.000782776E0,-3.587589569E0,-2.207160187E0
1.359330875E0,9.446406097E0,-3.401676178E0,-1.979184265E0
1.369370875E0,9.660161591E0,-3.392844543E0,-1.593885498E0
1.379411875E0,9.703870697E0,-3.409609680E0,-1.098116455E0
1.389451875E0,9.283694458E0,-3.552562408E0,-5.022056580E-1
1.399491875E0,8.794062653E0,-3.782933350E0,7.993377686E-2
1.409562875E0,8.664282532E0,-3.894601135E0,4.897814941E-1
1.419602875E0,8.888366547E0,-4.297563171E0,5.078938293E-1
1.429642875E0,8.916208649E0,-5.041216736E0,4.537065125E-1
1.439683875E0,8.468938751E0,-5.823040924E0,9.066645813E-1
1.449723875E0,8.329279175E0,-6.794520721E0,1.622925110E0
1.459794875E0,8.125253448E0,-8.002059631E0,2.005978546E0
1.469834875E0,7.840695190E0,-8.591683502E0,2.415975952E0
1.479874875E0,7.749983826E0,-8.499175873E0,2.983595581E0
1.489915875E0,6.819069672E0,-7.815397797E0,2.545905762E0
1.499955875E0,6.752158813E0,-6.581363983E0,1.700613556E0
1.509995875E0,7.929909668E0,-4.992717590E0,1.567989349E0
1.520066875E0,8.723110199E0,-4.356540527E0,1.390608215E0
1.530106875E0,8.747808838E0,-4.393513641E0,1.063688049E0
1.540147875E0,8.439150696E0,-4.510869598E0,9.991722107E-1
