"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.699280000E-1,-2.596945465E-1,-4.945313334E-1,2.143533900E-2
1.799690000E-1,-2.909940779E-1,-5.509638786E-1,3.753109649E-2
1.900090000E-1,-3.223022223E-1,-6.157708764E-1,4.530486465E-2
2.000490000E-1,-3.338831067E-1,-6.811180115E-1,5.615250394E-2
2.101200000E-1,-3.341800570E-1,-7.132391930E-1,7.714886218E-2
2.201600000E-1,-3.306691647E-1,-7.343742251E-1,9.227629751E-2
2.302010000E-1,-3.429681659E-1,-7.956889868E-1,1.099458411E-1
2.402410000E-1,-3.811410964E-1,-8.785729408E-1,1.232655644E-1
2.502810000E-1,-4.850954711E-1,-1.017384171E0,1.652971655E-1
2.603520000E-1,-6.363925934E-1,-1.202198029E0,2.205549777E-1
2.703920000E-1,-8.065878153E-1,-1.379051328E0,2.635727525E-1
2.804330000E-1,-9.581072927E-1,-1.474132299E0,3.073331118E-1
2.904730000E-1,-1.039062858E0,-1.479257822E0,3.426857889E-1
3.005130000E-1,-1.018031120E0,-1.383630395E0,3.140119910E-1
3.105530000E-1,-9.075069427E-1,-1.192476630E0,2.004910111E-1
3.206240000E-1,-7.898187041E-1,-9.706500769E-1,1.478905976E-1
3.306640000E-1,-7.219675183E-1,-8.158154488E-1,1.202456504E-1
3.407050000E-1,-7.221539021E-1,-7.437638640E-1,1.016264856E-1
3.507450000E-1,-8.051078916E-1,-7.964579463E-1,1.159662753E-1
3.607850000E-1,-9.266790152E-1,-8.684446216E-1,1.533370018E-1
3.708560000E-1,-1.027432799E0,-8.040853143E-1,1.851391494E-1
3.808960000E-1,-9.944353700E-1,-7.266839147E-1,1.598535925E-1
3.909370000E-1,-9.331781268E-1,-4.742535651E-1,1.934701502E-1
4.009770000E-1,-7.878574133E-1,-9.770748019E-2,4.617818594E-1
4.110170000E-1,-6.833459139E-1,4.292532802E-1,8.031333089E-1
4.210580000E-1,-6.757016778E-1,3.352746367E-1,8.352456689E-1
4.311280000E-1,-9.521415830E-1,-4.272168577E-1,-4.145233631E-1
4.411690000E-1,-1.319315076E0,-8.410708308E-1,-1.743392348E0
4.512090000E-1,-1.287365913E0,-5.522739142E-2,-1.667843223E0
4.612490000E-1,-1.140327811E0,7.658141255E-1,-1.131686091E0
4.712890000E-1,-1.120850205E0,8.567679524E-1,-7.651985884E-1
4.813300000E-1,-1.213051319E0,8.098621964E-1,-8.021373153E-1
4.914010000E-1,-1.242277622E0,1.289013147E0,-8.871321082E-1
5.014410000E-1,-1.211550593E0,1.986373067E0,-9.125074744E-1
5.114810000E-1,-1.337565184E0,2.471984863E0,-9.127266407E-1
5.215210000E-1,-1.566604733E0,2.695866585E0,-8.986116648E-1
5.315620000E-1,-1.689462781E0,2.819999695E0,-8.422205448E-1
5.416320000E-1,-1.709427595E0,2.664115429E0,-7.611407638E-1
5.516730000E-1,-1.562942624E0,1.964235306E0,-8.804727197E-1
5.617130000E-1,-1.141751289E0,9.703282714E-1,-1.212880492E0
5.717530000E-1,-4.991443753E-1,3.003904223E-1,-1.476321220E0
5.817940000E-1,6.090318412E-2,-2.684680223E-1,-1.685808778E0
5.918340000E-1,4.260177612E-1,-9.673454165E-1,-1.826010823E0
6.019050000E-1,6.417053938E-1,-1.484149814E0,-1.867303491E0
6.119450000E-1,7.477657795E-1,-1.709659100E0,-1.887561083E0
6.219850000E-1,6.914946437E-1,-2.061557531E0,-1.805823445E0
6.320260000E-1,6.316640377E-1,-2.114895821E0,-1.594092846E0
6.420660000E-1,6.104779243E-1,-2.033763647E0,-1.362818003E0
6.521370000E-1,5.704820156E-1,-2.083596230E0,-1.036542654E0
6.621770000E-1,3.320271969E-1,-2.728546858E0,-7.030269504E-1
6.722170000E-1,-3.418087214E-2,-3.596916437E0,-3.403302431E-1
6.822570000E-1,-2.534091175E-1,-3.291668653E0,4.556496069E-2
6.922980000E-1,-5.319978595E-1,-5.927665830E-1,3.021197915E-1
7.023380000E-1,-4.451484978E-1,-7.839135528E-1,5.266574025E-1
7.124090000E-1,-1.110533476E-1,-1.982229233E0,6.324999332E-1
7.224490000E-1,1.602846384E-1,-2.568196297E0,8.796648383E-1
7.324890000E-1,4.183332026E-1,-2.802503586E0,1.295134783E0
7.425300000E-1,7.320730686E-1,-3.494663239E0,1.838633776E0
7.525700000E-1,9.222943783E-1,-4.101386547E0,2.558411360E0
7.626100000E-1,8.962981105E-1,-4.450466633E0,3.122919798E0
7.726810000E-1,6.840761304E-1,-4.950044155E0,3.297539949E0
7.827210000E-1,5.235829353E-1,-5.332735538E0,3.210382938E0
7.927620000E-1,5.683035851E-1,-5.676266670E0,3.197586775E0
8.028020000E-1,7.460200191E-1,-6.359397888E0,3.254806519E0
8.128420000E-1,1.022464871E0,-7.067652702E0,3.186375856E0
8.229130000E-1,1.403985262E0,-7.457214832E0,3.001135588E0
8.329530000E-1,1.725565910E0,-7.277627945E0,2.750424385E0
8.429940000E-1,1.732971787E0,-6.258450508E0,2.621206522E0
8.530340000E-1,1.218393922E0,-5.258382797E0,2.667130232E0
8.630740000E-1,5.552105308E-1,-4.130587578E0,2.679244041E0
8.731140000E-1,-3.833300620E-2,-2.880153656E0,2.541274309E0
8.831850000E-1,-5.045139790E-1,-1.914974213E0,2.417480230E0
8.932260000E-1,-7.765745521E-1,-1.222332597E0,2.337435484E0
9.032660000E-1,-9.127103090E-1,-7.663883567E-1,2.313324928E0
9.133060000E-1,-9.081783891E-1,-4.605884850E-1,2.225414991E0
9.233460000E-1,-8.129282594E-1,-2.463713884E-1,2.017485619E0
9.334170000E-1,-6.774886847E-1,-2.812603712E-1,1.813646674E0
9.434570000E-1,-5.169748068E-1,-5.349851847E-1,1.678303003E0
9.534778750E-1,-3.650294542E-1,-7.701807022E-1,1.600516558E0
9.635178750E-1,-2.596701384E-1,-8.711788058E-1,1.566561699E0
9.735578750E-1,-1.843993515E-1,-8.213409185E-1,1.559398055E0
9.835988750E-1,-1.342676431E-1,-7.204262018E-1,1.591987014E0
9.936688750E-1,-6.441824883E-2,-7.022439837E-1,1.637546420E0
1.003709875E0,5.256110430E-2,-7.832053304E-1,1.651314616E0
1.013749875E0,2.215727717E-1,-9.951543212E-1,1.619923234E0
1.023789875E0,4.539301991E-1,-1.341817975E0,1.590503335E0
1.033830875E0,7.599175572E-1,-1.721796989E0,1.608474374E0
1.043900875E0,1.147331238E0,-2.193249464E0,1.696498752E0
1.053941875E0,1.606879234E0,-2.857481241E0,1.856672645E0
1.063981875E0,2.134508610E0,-3.663700581E0,2.075084925E0
1.074021875E0,2.727990866E0,-4.475409985E0,2.361824512E0
1.084061875E0,3.354185343E0,-5.198877335E0,2.658851624E0
1.094102875E0,3.961932182E0,-5.782083988E0,2.917623997E0
1.104173875E0,4.480761051E0,-6.044531822E0,3.078676224E0
1.114213875E0,4.832231998E0,-6.061813354E0,3.107867002E0
1.124253875E0,4.961493969E0,-5.960314751E0,3.110201120E0
1.134293875E0,4.854775906E0,-5.739890099E0,3.142376423E0
1.144334875E0,4.583656788E0,-5.399201870E0,3.188338995E0
1.154374875E0,4.246620655E0,-4.915187836E0,3.194928169E0
1.164445875E0,3.919235945E0,-4.305344105E0,3.090882301E0
1.174485875E0,3.614438295E0,-3.675232649E0,2.860970974E0
1.184525875E0,3.304120541E0,-3.038504124E0,2.538047075E0
1.194566875E0,2.971111774E0,-2.467288017E0,2.126558781E0
1.204606875E0,2.637561083E0,-2.089007854E0,1.643412113E0
1.214677875E0,2.315428495E0,-1.936940670E0,1.190783024E0
1.224717875E0,2.036082745E0,-1.876804948E0,8.602786064E-1
1.234757875E0,1.816927552E0,-1.830789208E0,6.655376554E-1
1.244798875E0,1.624801517E0,-1.761823535E0,5.753144622E-1
1.254838875E0,1.446010709E0,-1.683745146E0,5.309070349E-1
1.264878875E0,1.267009139E0,-1.624309540E0,4.712986350E-1
1.274949875E0,9.758457541E-1,-1.723034501E0,3.996002078E-1
1.284989875E0,7.070865631E-1,-1.884590149E0,4.010767639E-1
1.295029875E0,5.205827355E-1,-2.012897968E0,5.001029968E-1
1.305070875E0,3.793655336E-1,-2.080863953E0,5.506338477E-1
1.315110875E0,3.217301965E-1,-2.049680471E0,4.706109166E-1
1.325181875E0,3.305309713E-1,-1.948317289E0,2.933272123E-1
1.335221875E0,3.873606920E-1,-1.842108011E0,6.121461093E-2
1.345261875E0,4.580605328E-1,-1.735537648E0,-1.474627554E-1
1.355302875E0,5.043544769E-1,-1.559866190E0,-2.454399168E-1
1.365342875E0,5.087080598E-1,-1.297175765E0,-2.459208369E-1
1.375382875E0,4.528773129E-1,-9.519315958E-1,-1.448903531E-1
1.385453875E0,2.698652744E-1,-4.832607806E-1,1.597568579E-2
1.395493875E0,-7.927910984E-2,-1.559209917E-2,1.535204947E-1
